designator,category,description,required,notes,manufacturer,mpn,package,footprint,datasheet,alternate_mpn,freeze_status
DISP1,display,Newhaven 2.4 inch portrait capacitive touch display,true,Installed above PCB; not PCBWay SMT row; 240x320 ST7789VI and FT5426 touch,Newhaven Display,NHD-2.4-240320AF-CSXP-CTP,Display module,Mechanical:Display_Envelope_42.8x59.91mm,https://newhavendisplay.com/content/specs/NHD-2.4-240320AF-CSXP-CTP.pdf,,frozen
J2,display,40-pin TFT FFC connector,true,Connector for Newhaven display TFT FFC; footprint must be checked against mechanical drawing,Molex,54132-4062,FFC 40P 0.5mm,Connector_FFC-FPC:Molex_54132-4062_1x40-1MP_P0.50mm_Horizontal,https://www.molex.com/en-us/products/part-detail/541324062,,candidate
J2B,display,6-pin capacitive touch FFC connector,true,Connector for Newhaven FT5426 touch FFC; footprint must be checked against mechanical drawing,Molex,52271-0679,FFC 6P 1.0mm,Connector_FFC-FPC:Molex_52271-0679_1x06-1MP_P1.00mm_Horizontal,https://www.molex.com/en-us/products/part-detail/522710679,,candidate
SW1 SW2,input,High left and right side-operation physical buttons,true,Side-actuated approve and reject buttons; not front-facing tact switches,Panasonic,EVQP7J01P,Side tactile switch,Button_Switch_SMD:SW_SPST_EVQP7A,https://industrial.panasonic.com/ww/products/pt/light-touch-switches/light-touch-switches-smd/series/3529s-side,,candidate
U9,secure_element,NFC/RFID controller,true,Power-gated ST25R3916B for NFC and RFID workflows; disabled by default in hardened firmware,STMicroelectronics,ST25R3916B-AQET,VFQFPN32,Package_DFN_QFN:QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm,https://www.st.com/resource/en/datasheet/st25r3916b.pdf,,candidate
ANT1,secure_element,Top-edge NFC antenna FPC or tuned antenna keep-out,true,Requires measurement and tuning; not a decorative PCB NFC loop,Custom,ANT-FPC-TUNED,Flex or tuned PCB antenna,Connector_Generic:Conn_01x02,https://www.st.com/en/nfc/st25r3916b.html,,tuning_required
U10,power,LiPo charger with power-path,true,Battery charger and power-path load sharing for USB or battery operation,Texas Instruments,BQ24074RGTR,VQFN-16,Package_DFN_QFN:VQFN-16-1EP_3.5x3.5mm_P0.5mm_EP2.1x2.1mm,https://www.ti.com/lit/ds/symlink/bq24074.pdf,,candidate
J9,power,LiPo battery connector,true,JST PH connector for single-cell LiPo battery,JST,S2B-PH-SM4-TB(LF)(SN),JST PH 2P SMD,Connector_JST:JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,https://www.jst-mfg.com/product/pdf/eng/ePH.pdf,,frozen
U11,secure_element,OPTIGA Trust M class I2C second secure element,true,Second secure element for independent defense-in-depth attestation and anti-clone policy; TROPIC01 remains the open primary secure element,Infineon,OPTIGA-TRUST-M-SLS32AIA,PG-USON-10 3x3mm,Package_SON:Microchip_USON-10-1EP_3x3mm_P0.5mm_EP1.8x2.5mm,https://www.infineon.com/cms/en/product/security-smart-card-solutions/optiga-embedded-security-solutions/optiga-trust-m/,,candidate
J6,expansion,Qwiic STEMMA QT I2C connector,true,Compact I2C expansion without large headers; power-limited 3V3,JST,SM04B-SRSS-TB(LF)(SN),JST SH 4P SMD,Connector_JST:JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,https://www.jst-mfg.com/product/pdf/eng/eSH.pdf,,frozen
TP_SWDIO TP_SWCLK TP_NRST TP_BOOT0 TP_UART_TX TP_UART_RX TP_3V3 TP_GND,programming,Hidden back-side pogo/test pads,true,Required PCB copper pads but not PCBWay PCBA components; enclosure covers pogo pads in product builds,Generic,TestPad,PCB copper pads,TestPoint:TestPoint_Pad_D1.0mm,https://docs.kicad.org,,footprint_only
